en,fr,en_to_fr_prob,fr_to_en_prob
▁change,▁chang,0.20715332,0.09503174
▁north,▁nord,0.5551758,0.73876953
▁right,▁droit,0.35864258,0.3786621
▁light,▁lum,0.3034668,0.28735352
▁sea,▁mer,0.5341797,0.56689453
▁middle,▁milieu,0.15393066,0.22851562
▁all,▁tous,0.38134766,0.58154297
▁point,▁point,0.47143555,0.2265625
▁to,▁à,0.21472168,0.25830078
▁lake,▁lac,0.55810547,0.6777344
▁language,▁langue,0.33374023,0.76464844
▁song,▁chanson,0.5263672,0.71728516
▁wood,▁bois,0.45043945,0.4189453
▁can,▁peut,0.3413086,0.42041016
▁corner,▁coin,0.3527832,0.41601562
▁project,▁projet,0.40307617,0.63964844
▁Li,▁Li,0.24389648,0.19384766
▁five,▁cinq,0.30688477,0.3605957
▁between,▁entre,0.2919922,0.26708984
▁hand,▁main,0.6645508,0.4177246
▁station,▁station,0.13867188,0.30810547
▁time,▁temps,0.34277344,0.5366211
▁high,▁haut,0.40771484,0.42919922
▁candidate,▁candid,0.16882324,0.101257324
▁society,▁société,0.15002441,0.46606445
▁must,▁doit,0.21081543,0.34228516
▁Chen,▁Chen,0.31225586,0.28100586
▁death,▁mort,0.35473633,0.36865234
▁woman,▁femme,0.6538086,0.57666016
▁life,▁vie,0.22924805,0.48950195
▁night,▁nuit,0.46728516,0.77001953
▁original,▁original,0.26904297,0.117370605
▁year,▁année,0.3400879,0.7089844
▁eight,▁huit,0.5576172,0.7026367
▁day,▁jour,0.43164062,0.5317383
▁country,▁pays,0.10559082,0.59277344
▁house,▁maison,0.6699219,0.58251953
▁door,▁porte,0.4465332,0.64404297
▁example,▁exemple,0.5131836,0.6899414
▁I,▁je,0.44140625,0.6791992
▁return,▁retour,0.38208008,0.2442627
▁present,▁présent,0.3527832,0.36767578
▁six,▁six,0.7602539,0.74365234
▁street,▁rue,0.25512695,0.6777344
▁tea,▁thé,0.36767578,0.6699219
▁same,▁même,0.19750977,0.4128418
▁law,▁loi,0.328125,0.60498047
▁equal,▁ég,0.46166992,0.049224854
▁is,▁est,0.72753906,0.32983398
▁already,▁déjà,0.5991211,0.23474121
▁head,▁tête,0.53125,0.62890625
▁three,▁trois,0.55029297,0.5864258
▁Tang,▁Tang,0.22851562,0.1538086
▁no,▁non,0.4675293,0.29956055
▁beauty,▁beaut,0.3173828,0.19030762
▁tower,▁tour,0.20788574,0.32641602
▁often,▁souvent,0.63671875,0.3696289
▁big,▁grand,0.36279297,0.1307373
▁road,▁route,0.13867188,0.41210938
▁super,▁super,0.15563965,0.14135742
▁work,▁travail,0.43823242,0.65185547
▁valley,▁vall,0.19152832,0.56884766
▁hundred,▁cent,0.49267578,0.47729492
▁type,▁type,0.1932373,0.29785156
▁ten,▁dix,0.52685547,0.7373047
▁foot,▁pied,0.51464844,0.60009766
▁picture,▁image,0.1673584,0.23876953
▁name,▁nom,0.4482422,0.6098633
▁science,▁science,0.2788086,0.35131836
▁two,▁deux,0.8588867,0.5048828
▁left,▁gauche,0.65625,0.6113281
▁page,▁page,0.44555664,0.5048828
▁or,▁ou,0.68359375,0.3798828
▁man,▁homme,0.41430664,0.37890625
▁health,▁sant,0.21447754,0.18261719
▁today,▁aujourd,0.5419922,0.29467773
▁number,▁nombre,0.29125977,0.63720703
▁before,▁avant,0.6069336,0.27514648
▁group,▁groupe,0.17297363,0.7109375
▁dance,▁dan,0.21447754,0.14758301
▁well,▁bien,0.1315918,0.29614258
▁city,▁ville,0.22155762,0.27539062
▁river,▁rivière,0.3701172,0.8886719
▁department,▁département,0.20825195,0.1829834
▁fruit,▁fruit,0.48046875,0.5078125
▁English,▁anglais,0.36767578,0.58251953
▁of,▁de,0.26904297,0.16101074
▁village,▁village,0.23132324,0.32543945
▁pair,▁pair,0.14331055,0.16992188
▁good,▁bon,0.31469727,0.46533203
▁long,▁long,0.2746582,0.25976562
▁machine,▁machine,0.21386719,0.22485352
▁white,▁blanc,0.68603516,0.54589844
