en,de,en_to_de_prob,de_to_en_prob
▁lake,▁See,0.7246094,0.5307617
▁gold,▁Gold,0.52734375,0.34228516
▁language,▁Sprache,0.71533203,0.53466797
▁sand,▁Sand,0.82910156,0.6254883
▁song,▁Lied,0.55566406,0.4423828
▁can,▁kann,0.6484375,0.21166992
▁project,▁Projekt,0.4267578,0.69628906
▁Li,▁Li,0.2277832,0.048583984
▁five,▁fünf,0.28393555,0.2668457
▁between,▁zwischen,0.6455078,0.42578125
▁hand,▁Hand,0.66064453,0.58935547
▁station,▁Bahnhof,0.28833008,0.4350586
▁time,▁Zeit,0.38720703,0.53564453
▁high,▁hoch,0.6176758,0.17346191
▁society,▁Gesellschaft,0.3618164,0.30395508
▁must,▁muss,0.50683594,0.2841797
▁Chen,▁Chen,0.30493164,0.12475586
▁death,▁Tod,0.59472656,0.48535156
▁woman,▁Frau,0.87402344,0.5336914
▁life,▁Leben,0.6123047,0.3503418
▁night,▁Nach,0.51953125,0.18200684
▁original,▁Original,0.20861816,0.123413086
▁year,▁Jahr,0.62939453,0.6044922
▁eight,▁acht,0.6958008,0.60058594
▁day,▁Tag,0.46044922,0.31274414
▁country,▁Land,0.5473633,0.41064453
▁house,▁Haus,0.76123047,0.5942383
▁door,▁Tür,0.82910156,0.7807617
▁example,▁Beispiel,0.53466797,0.5957031
▁I,▁ich,0.4543457,0.45898438
▁six,▁sechs,0.69384766,0.80029297
▁street,▁Straße,0.59277344,0.4675293
▁tea,▁Te,0.7910156,0.101257324
▁same,▁gleich,0.60791016,0.11419678
▁county,▁Landkreis,0.14807129,0.31079102
▁is,▁ist,0.8198242,0.3774414
▁already,▁schon,0.7392578,0.114746094
▁three,▁drei,0.7871094,0.55029297
▁old,▁alt,0.53564453,0.34448242
▁west,▁west,0.6791992,0.51660156
▁often,▁oft,0.75390625,0.33203125
▁big,▁groß,0.4116211,0.11303711
▁super,▁super,0.29492188,0.0803833
▁new,▁neu,0.4543457,0.0725708
▁sex,▁Sex,0.15637207,0.10626221
▁work,▁Arbeit,0.54541016,0.5395508
▁valley,▁Tal,0.7426758,0.71533203
▁type,▁Typ,0.29174805,0.41967773
▁foot,▁Fuß,0.86279297,0.69677734
▁picture,▁Bild,0.53808594,0.4711914
▁name,▁Name,0.40820312,0.3774414
▁science,▁Wissenschaft,0.3647461,0.6455078
▁two,▁zwei,0.8535156,0.67041016
▁left,▁links,0.5288086,0.296875
▁page,▁Seite,0.52685547,0.44213867
▁or,▁oder,0.42773438,0.7397461
▁man,▁Mann,0.32885742,0.31884766
▁today,▁heute,0.5620117,0.56152344
▁power,▁Kraft,0.5522461,0.27416992
▁number,▁Zahl,0.44506836,0.38964844
▁before,▁vor,0.7207031,0.21008301
▁group,▁Gruppe,0.53515625,0.43188477
▁heart,▁Herz,0.9082031,0.79052734
▁school,▁Schule,0.6894531,0.7319336
▁river,▁Fl,0.7265625,0.03918457
▁snow,▁Schne,0.890625,0.54248047
▁English,▁engl,0.3137207,0.064331055
▁village,▁Dorf,0.2602539,0.43603516
▁good,▁gut,0.6948242,0.17822266
▁meaning,▁Bedeutung,0.4621582,0.5395508
▁long,▁lang,0.50146484,0.095336914
▁star,▁Stern,0.8364258,0.8208008
▁guest,▁Gast,0.6020508,0.54589844
▁small,▁klein,0.54003906,0.14697266
