zh,en
究,study
密,secret
变,change
序,sequence
计,calculate
曲,song
包,wrap
意,meaning
去,go
沙,sand
写,write
超,exceed
今,now
森,forest
黄,yellow
湖,lake
何,what
宇,universe
張,stretch
语,language
老,old
例,example
鉄,iron
克,overcome
然,so
報,report
服,clothes
想,think
実,real
载,load
波,wave
马,horse
状,shape
线,line
洋,ocean
添,add
球,ball
機,machine
支,branch
显,appear
拉,pull
送,send
隊,team
处,place
師,teacher
像,like
黒,black
只,only
起,rise
段,section
區,area
選,choose
業,business
算,calculate
广,wide
视,see
因,because
输,lose
康,health
思,think
死,death
聖,holy
头,head
車,vehicle
按,press
夢,dream
从,from
题,topic
省,save
葉,leaf
関,relation
页,page
共,common
态,state
技,skill
乐,happy
控,control
移,move
影,shadow
管,pipe
戸,door
函,letter
尾,tail
场,field
介,introduce
泉,spring
说,speak
换,exchange
必,must
気,air
门,door
令,command
左,left
若,if
屋,house
打,hit
问,ask
恋,love
兵,soldier
別,separate
引,pull
智,wisdom
赤,red
断,cut
称,call
身,body
首,head
付,attach
連,connect
官,official
持,hold
親,parent
秀,excellent
址,site
守,guard
活,live
藏,hide
草,grass
結,tie
樹,tree
勝,win
足,foot
业,industry
富,rich
雪,snow
再,again
默,silent
楽,joy
羅,net
错,wrong
桥,bridge
雲,cloud
该,should
岩,rock
切,cut
店,store
母,mother
击,hit
設,establish
經,experience
座,seat
云,cloud
告,tell
変,change
试,try
判,judge
达,reach
右,right
复,return
看,see
話,speak
尔,you
衛,guard
丸,round
样,pattern
喜,joy
斯,this
銀,silver
群,group
近,near
塔,tower
确,sure
索,search
非,not
望,hope
希,hope
越,exceed
鳥,bird
测,measure
话,speak
池,pond
食,eat
渡,cross
速,fast
军,army
红,red
論,theory
頭,head
飛,fly
么,small
達,reach
洞,cave
项,item
种,type
书,book
构,construct
米,rice
连,connect
操,operate
装,dress
反,opposite
仮,temporary
员,member
客,guest
删,delete
現,present
助,help
微,tiny
舞,dance
导,lead
效,effect
深,deep
料,material
每,each
茶,tea
败,fail
些,some
双,pair
嘉,excellent
進,advance
故,old
計,calculate
遠,far
候,wait
房,house
两,two
才,talent
止,stop
番,turn
奇,strange
怪,strange
边,edge
还,return
黃,yellow
收,receive
弘,vast
给,give
乡,village
武,military
设,establish
情,feeling
治,manage
志,will
県,county
参,join
義,justice
象,image
永,forever
量,measure
府,government
调,adjust
修,fix
未,future
义,justice
交,exchange
角,angle
伝,report
港,port
景,view
秋,fall
汉,man
展,spread
素,simple
宿,stay
紀,record
漢,man
局,office
并,combine
节,section
电,electric
陳,display
专,expert
朱,red
坂,hill
鬼,spirit
甲,shell
溪,stream
陈,display
健,strong
庄,village
巴,target
貴,valuable
运,luck
昭,bright
居,live
瀬,current
洲,island
联,join
神,spirit
院,hospital
相,appearance
经,classic
传,spread
统,system
