en,ru,en_tok,ru_tok,en_to_ru_prob,ru_to_en_prob
▁brown,▁коричне,8426,148098,0.2115,0.7197
▁bubble,▁пузы,25469,219488,0.2148,0.2184
▁budget,▁бюджет,8947,115151,0.2297,0.844
▁bus,▁автобу,1986,118125,0.1827,0.885
▁business,▁дело,2567,53139,0.3315,0.254
▁but,▁но,901,4755,0.5396,0.1991
▁button,▁кно,6086,69260,0.1559,0.51
▁buy,▁купить,4631,56257,0.7456,0.4973
▁cable,▁кабель,11871,198503,0.1589,0.814
▁cafe,▁кафе,18772,80543,0.3518,0.4053
▁calendar,▁кален,16684,143299,0.545,0.587
▁cameras,▁камеры,26563,184129,0.1652,0.1984
▁can,▁может,798,18936,0.2861,0.387
▁canal,▁канал,20644,135198,0.10394,0.395
▁candidate,▁канди,16152,124983,0.3208,0.542
▁candy,▁конф,25720,83946,0.0803,0.1469
▁capital,▁столи,6037,101804,0.1328,0.4731
▁captain,▁капи,22188,119188,0.3115,0.3303
▁car,▁машина,1226,103503,0.1138,0.74
▁care,▁забо,2212,43958,0.1829,0.1971
▁careful,▁осторо,15136,192971,0.1268,0.2373
▁cat,▁кот,4401,73521,0.3818,0.7266
▁catalogue,▁каталог,37072,140132,0.139,0.4294
▁category,▁катего,9701,68039,0.1091,0.687
▁cause,▁причи,4557,57547,0.0839,0.2515
▁center,▁центр,5086,77243,0.1958,0.6157
▁century,▁век,7861,86121,0.4014,0.6587
▁ceremony,▁церемо,20313,225296,0.03806,0.783
▁champion,▁чемпи,19390,86536,0.2915,0.772
▁chance,▁шанс,7068,225983,0.0953,0.8647
▁cheap,▁деше,12131,124662,0.4585,0.6973
▁cheaper,▁дешевле,23993,231516,0.3535,0.7915
▁check,▁провер,2701,61079,0.1292,0.35
▁chemical,▁хими,9408,109744,0.3567,0.311
▁chicken,▁кури,12254,92848,0.1707,0.334
▁children,▁дети,3069,73505,0.08185,0.836
▁chocolate,▁шоколад,13171,141705,0.0815,0.921
▁choice,▁выбор,6241,76788,0.2947,0.504
▁choose,▁выбрать,6475,76852,0.4504,0.4253
▁chosen,▁выбран,12228,182282,0.203,0.457
▁chronic,▁хрони,19424,203897,0.08093,0.181
▁church,▁храм,8068,200955,0.04083,0.7324
▁cinema,▁кино,27840,71906,0.663,0.5625
▁circle,▁кру,11698,23412,0.2454,0.2263
▁citizen,▁гражда,24992,58694,0.1978,0.821
▁city,▁город,3413,43495,0.05814,0.7847
▁claim,▁претен,5035,169204,0.06058,0.33
▁class,▁класс,1062,56556,0.1642,0.764
▁client,▁клиент,5553,216125,0.4246,0.6924
▁closer,▁ближе,13951,195701,0.247,0.4888
▁clouds,▁обла,20828,18207,0.2734,0.3635
▁club,▁клуб,5893,89596,0.08136,0.764
▁cm,▁см,3377,24591,0.4255,0.0859
▁code,▁код,3409,99204,0.2046,0.6943
▁coffee,▁кофе,8423,94622,0.1564,0.835
▁cold,▁холод,7033,86767,0.3167,0.8643
▁colleague,▁колле,51011,111315,0.192,0.1782
▁collection,▁сбор,5488,63833,0.08997,0.2255
▁collections,▁коллекции,19594,225600,0.09894,0.6777
▁color,▁цвет,2881,31611,0.1606,0.5024
▁colors,▁цвета,9276,52176,0.4885,0.463
▁comedy,▁коме,28150,208299,0.56,0.23
▁comfortable,▁удоб,10750,45958,0.15,0.1671
▁command,▁коман,5017,40365,0.12384,0.3262
▁commander,▁команди,31863,138615,0.09204,0.33
▁comment,▁коммента,4986,87050,0.211,0.547
▁common,▁общий,3818,208958,0.03366,0.2455
▁compact,▁компакт,18399,177374,0.181,0.679
▁company,▁компания,3277,84220,0.03214,0.793
▁compare,▁срав,12711,64099,0.4082,0.2507
▁compensation,▁компен,19355,183524,0.3972,0.2153
▁completely,▁полностью,7322,64502,0.1687,0.5176
▁complex,▁комплекс,5766,108650,0.2296,0.7554
▁component,▁компо,8350,51486,0.1592,0.03284
▁composition,▁компози,12400,94222,0.0748,0.535
▁computer,▁компьютер,6875,122753,0.174,0.8784
▁concentration,▁концентра,11880,151472,0.3804,0.618
▁concept,▁концеп,7819,142938,0.0992,0.768
▁concert,▁концерт,20227,198703,0.3464,0.8896
▁concrete,▁бетон,13660,186914,0.03146,0.8037
▁conditions,▁условия,4202,82995,0.3823,0.595
▁confirm,▁подтвер,10508,85365,0.3767,0.2478
▁congratulations,▁поздрав,70808,138746,0.4468,0.1659
▁connect,▁соеди,9616,80682,0.4832,0.2473
▁connection,▁связь,6653,140772,0.1487,0.3267
▁consequences,▁последствия,18255,199455,0.4915,0.2341
▁consists,▁состоит,13569,107607,0.656,0.3953
▁consultation,▁консульта,25013,137854,0.2499,0.573
▁contains,▁содержит,7744,144755,0.2476,0.651
▁content,▁содержание,3381,141324,0.04895,0.4885
▁context,▁контек,4807,207849,0.09265,0.635
▁continue,▁продол,5374,45048,0.1847,0.2007
▁control,▁контроль,2582,136477,0.263,0.7383
▁cooperation,▁сотрудни,18398,114713,0.0685,0.3667
▁coordinates,▁координа,23706,164753,0.3958,0.4548
▁copy,▁копи,5469,141841,0.11993,0.3162
▁corner,▁угол,10429,209622,0.167,0.5146
▁corporation,▁корпора,22396,157990,0.0587,0.4995
▁correctly,▁правильно,16105,69525,0.503,0.3972
▁corresponding,▁соответству,12257,94112,0.1426,0.2373
▁could,▁мог,1538,91985,0.2754,0.3916
▁council,▁совет,16084,46537,0.04184,0.451
▁countries,▁страны,5605,68310,0.1383,0.742
▁country,▁страна,3170,132414,0.06082,0.8535
▁course,▁курс,3205,127482,0.0953,0.6445
▁court,▁суд,4624,99728,0.0674,0.7344
▁create,▁создать,3104,117887,0.1716,0.542
▁creation,▁создание,12860,153693,0.0482,0.662
▁crime,▁преступ,12476,139777,0.4294,0.775
▁criterion,▁критери,35133,222710,0.366,0.3853
▁crowd,▁тол,16495,55522,0.3718,0.09705
▁cry,▁кри,5619,29854,0.1147,0.0264
▁crystal,▁криста,16162,225233,0.12006,0.4888
▁culture,▁культура,6981,194922,0.1719,0.8423
▁cylinder,▁цилинд,25572,187184,0.09235,0.3232
▁dance,▁тан,11877,78458,0.2404,0.1135
▁danger,▁опас,8416,90954,0.38,0.634
▁daughter,▁дочь,8531,152457,0.1753,0.916
▁day,▁день,1744,19888,0.264,0.755
▁death,▁смерть,4168,141829,0.2324,0.8726
▁decision,▁решение,4530,67204,0.2007,0.4897
▁decisions,▁решения,12013,75622,0.1963,0.3289
▁decrease,▁умень,16840,100779,0.2727,0.2345
▁deep,▁глубо,5271,97202,0.3457,0.764
▁degree,▁граду,7151,103321,0.1542,0.4924
▁delivered,▁достав,13245,114590,0.1924,0.1592
▁delivery,▁доставка,8335,137554,0.06836,0.6597
▁democracy,▁демокра,25886,171831,0.2954,0.624
▁dependent,▁зависи,17322,47917,0.5615,0.458
▁depends,▁зависит,12014,96568,0.1721,0.716
▁depression,▁депре,20374,209339,0.09564,0.8335
▁deputy,▁депута,37506,109068,0.0682,0.156
▁describe,▁описа,12637,90351,0.5195,0.3005
▁description,▁описание,5966,106714,0.3145,0.704
▁desert,▁пусты,21459,196110,0.3816,0.3137
▁despite,▁несмотря,12391,160581,0.2256,0.541
▁destroy,▁уничто,10108,138039,0.2742,0.4434
▁detail,▁дета,8637,82121,0.10535,0.6323
▁details,▁детали,4691,127225,0.1769,0.6885
▁develop,▁разви,2115,27038,0.743,0.2673
▁deviation,▁откло,25760,211303,0.1691,0.577
▁dictionary,▁словарь,25730,177677,0.2224,0.7925
▁died,▁умер,7404,101802,0.647,0.764
▁diesel,▁дизе,20466,228009,0.4114,0.7153
▁direction,▁направление,6581,215686,0.03177,0.76
▁directions,▁направления,16759,133056,0.0791,0.4407
▁director,▁директор,8453,128905,0.255,0.815
▁dirt,▁гря,25436,115200,0.1057,0.0989
▁disabled,▁инвали,20663,204797,0.2167,0.4548
▁discipline,▁дисципли,24909,206706,0.05392,0.6655
▁disco,▁диско,21405,225799,0.1394,0.3806
▁discuss,▁обсу,9742,93120,0.1236,0.3203
▁disease,▁болез,7197,76654,0.1384,0.574
▁disk,▁диск,17257,129456,0.1805,0.3987
▁doctor,▁врач,9353,158404,0.368,0.9043
▁document,▁документ,4551,157772,0.1461,0.765
▁documents,▁документы,10817,122954,0.1484,0.7456
▁dog,▁собака,5929,197006,0.1476,0.915
▁door,▁дверь,4444,113050,0.1315,0.8936
▁doors,▁двери,13076,95737,0.0554,0.4011
▁down,▁вниз,1706,152973,0.3257,0.734
▁download,▁скачать,6767,158512,0.741,0.666
▁drawings,▁рисунки,24950,186709,0.0609,0.3499
▁dress,▁платье,5410,76176,0.04993,0.728
▁drink,▁пить,7182,192151,0.364,0.449
▁dynamic,▁динами,12415,107009,0.69,0.529
▁each,▁каждый,1853,57454,0.2119,0.482
▁early,▁ран,4061,86525,0.2727,0.271
▁easier,▁легче,10154,205540,0.2211,0.3655
▁easy,▁легко,3980,54788,0.2173,0.4043
▁ecology,▁эко,55396,77963,0.4639,0.1436
▁economy,▁экономи,9797,47732,0.08685,0.5146
▁edition,▁издание,9529,209859,0.04755,0.2634
▁editor,▁реда,10476,77942,0.3464,0.3044
▁education,▁образование,5404,132310,0.1425,0.823
▁effect,▁эффект,4232,141319,0.2189,0.825
▁effective,▁эффектив,7017,78222,0.217,0.536
▁efficiency,▁эффективность,12148,227667,0.0722,0.5293
▁egg,▁яй,13514,61840,0.06033,0.6074
▁elected,▁избран,17710,214183,0.4443,0.504
▁electricity,▁электри,19080,92610,0.2235,0.3376
▁element,▁элемент,5356,182077,0.08875,0.6123
▁empire,▁импе,30047,160058,0.0996,0.333
▁encyclopedia,▁энциклопедия,121850,167479,0.5366,0.725
▁end,▁конец,1580,157766,0.3293,0.8335
▁ends,▁заканчи,11338,193252,0.11816,0.1898
▁energy,▁энер,4134,59465,0.515,0.532
▁engineer,▁инженер,22895,194717,0.3093,0.898
▁enjoy,▁насла,4313,157812,0.1371,0.2256
▁enough,▁достаточно,3594,66648,0.3577,0.694
▁enterprises,▁предприятия,32701,110695,0.0515,0.306
▁envelope,▁конвер,26568,188493,0.0742,0.2942
▁episode,▁эпизо,10587,190022,0.1252,0.553
▁error,▁ошибка,3333,208781,0.591,0.595
▁especially,▁особенно,5199,66142,0.3162,0.4321
▁euro,▁евро,16394,66557,0.494,0.5293
▁evaluation,▁оценка,13167,190111,0.2158,0.2075
▁evening,▁вечер,9478,87759,0.4226,0.822
▁event,▁собы,3071,69954,0.08606,0.3733
▁events,▁события,5562,122887,0.1671,0.6797
▁everywhere,▁везде,17165,189057,0.3337,0.8833
▁exactly,▁точно,7880,66798,0.575,0.4807
▁exam,▁экза,7106,203073,0.3599,0.5225
▁example,▁пример,3287,51710,0.4502,0.8564
▁exceed,▁превы,15542,133401,0.3777,0.0937
▁except,▁кроме,7694,110222,0.2896,0.619
▁exception,▁исклю,7418,72242,0.312,0.2064
▁exchange,▁обмен,10036,183253,0.1236,0.5327
▁exercise,▁упраж,9987,111120,0.317,0.3098
▁exists,▁существует,10489,125029,0.3252,0.479
▁expect,▁ожида,5246,151287,0.1296,0.2205
▁experience,▁опыт,3281,102007,0.3032,0.774
▁experiment,▁экспери,10844,136142,0.3687,0.7773
▁eye,▁глаз,6312,88256,0.249,0.892
▁eyes,▁глаза,4628,62087,0.176,0.741
▁fact,▁факт,2252,141353,0.3257,0.9053
▁factory,▁фабри,11902,168444,0.1254,0.8916
▁facts,▁факты,10275,155124,0.2844,0.65
▁faculty,▁факуль,21143,182325,0.1162,0.6567
▁family,▁семья,2730,129237,0.1752,0.8804
▁famous,▁знамени,10964,124833,0.2365,0.4983
▁fantasy,▁фанта,24675,139264,0.3696,0.3093
▁far,▁далеко,2166,123381,0.4,0.8403
▁fashion,▁мода,8012,210799,0.08765,0.271
▁faster,▁быстрее,13042,159363,0.4888,0.6177
▁father,▁отец,5842,139919,0.2035,0.8975
▁fear,▁страх,7440,203416,0.2382,0.7964
▁feel,▁чув,2375,43130,0.3586,0.2793
▁feelings,▁чувства,14690,131944,0.2334,0.4065
▁festival,▁праздник,12719,131019,0.1192,0.2185
▁field,▁поле,2725,58712,0.2072,0.8247
▁figure,▁фигу,5774,99506,0.1017,0.506
▁files,▁файлы,6630,226110,0.0649,0.8267
▁film,▁фильм,4592,95937,0.1984,0.506
▁films,▁фильмы,14013,232502,0.1835,0.564
▁filter,▁фильтр,7194,207887,0.7764,0.8657
▁finally,▁наконец,6247,137489,0.1685,0.545
▁find,▁найти,1717,63918,0.359,0.5425
▁fire,▁огонь,3967,159284,0.09503,0.8296
▁first,▁первый,1370,62029,0.2822,0.8613
▁fish,▁рыба,5001,117378,0.1074,0.6147
▁flag,▁фла,8969,113069,0.4512,0.6626
▁football,▁футбо,9715,58227,0.5146,0.779
▁for,▁для,604,4384,0.1096,0.7095
▁forest,▁лес,9309,135464,0.1366,0.8022
▁forget,▁забы,9535,75646,0.4578,0.5654
▁form,▁форма,1736,50907,0.1399,0.5835
▁format,▁формат,5920,224371,0.4875,0.6724
▁forms,▁формы,7539,80697,0.0748,0.58
▁forum,▁фору,16875,126030,0.517,0.747
▁forward,▁вперед,4830,148989,0.3555,0.6875
▁found,▁найден,1942,227645,0.0897,0.8003
▁foundation,▁осно,15620,65483,0.0961,0.2778
▁founded,▁основан,18942,205594,0.3025,0.4646
▁four,▁четыре,2785,79073,0.236,0.9277
▁freedom,▁свобо,11402,51295,0.297,0.4402
▁friend,▁друг,4034,59749,0.2024,0.844
▁friends,▁друзья,4078,78175,0.2319,0.8193
▁from,▁от,774,3025,0.4404,0.6113
▁fuel,▁топли,9719,100473,0.0964,0.4932
▁function,▁функция,1411,158155,0.11035,0.764
▁functional,▁функциона,15859,128935,0.1709,0.3613
▁functions,▁функции,7257,91246,0.2576,0.5254
▁fund,▁фонд,3466,221184,0.0902,0.5674
▁further,▁дальше,4024,73662,0.1987,0.433
▁game,▁игра,2398,34257,0.1852,0.5884
▁games,▁игры,5178,52162,0.2659,0.63
▁garage,▁гара,20003,141334,0.1161,0.453
▁garden,▁сад,8717,106035,0.1329,0.6206
▁garlic,▁чесно,25470,151628,0.0944,0.517
▁gas,▁газ,5137,85523,0.5063,0.8496
▁gate,▁ворота,13639,201326,0.2532,0.3782
▁gather,▁собира,14074,76884,0.2666,0.2037
▁gave,▁дал,5645,179389,0.1997,0.632
▁general,▁генера,3311,71713,0.065,0.5283
▁generation,▁поко,10304,76951,0.06824,0.0879
▁global,▁глоба,5228,192780,0.2318,0.469
▁goal,▁цель,6789,147861,0.123,0.498
▁gold,▁золото,4394,186917,0.1323,0.8315
▁goods,▁товары,9653,159963,0.04855,0.6714
▁governor,▁губер,23699,119784,0.2622,0.5864
▁gradually,▁постепенно,20914,183602,0.2583,0.6157
▁graduation,▁выпуск,37452,123307,0.0634,0.3203
▁grandmother,▁бабу,37869,128948,0.1996,0.5015
▁grave,▁моги,17920,172815,0.1214,0.3916
▁gray,▁серый,13676,122268,0.05505,0.5947
▁green,▁зелё,4433,203196,0.1835,0.865
▁guarantee,▁гаран,16919,72762,0.1421,0.2861
▁guitar,▁гита,14673,182567,0.2185,0.8374
▁half,▁полови,3933,80846,0.2407,0.8687
▁hall,▁зал,11240,139426,0.0735,0.7075
▁hand,▁рука,1634,96259,0.3518,0.672
▁hands,▁руки,4961,64710,0.2024,0.64
▁happen,▁произо,7895,81106,0.11346,0.1786
▁happened,▁произошло,7522,149571,0.1853,0.569
▁happens,▁происходит,9597,80971,0.3113,0.346
▁happiness,▁счастье,18821,171141,0.161,0.588
▁harm,▁вред,14649,121266,0.044,0.325
▁harmony,▁гармо,26290,222016,0.05682,0.3105
▁has,▁имеет,919,44025,0.1376,0.7827
▁hat,▁шля,3954,142987,0.2925,0.3066
▁have,▁име,791,16939,0.1813,0.2742
▁he,▁он,693,11573,0.397,0.638
▁head,▁голова,2206,166443,0.2612,0.7876
▁healthy,▁здоро,9606,97784,0.2449,0.325
▁hear,▁слы,4675,120410,0.4338,0.4124
▁heart,▁сердце,3760,92512,0.3079,0.934
▁heavy,▁тяже,8090,74382,0.2393,0.4504
▁hello,▁привет,25612,82258,0.219,0.4219
▁help,▁помощь,1707,85458,0.212,0.757
▁helps,▁помогает,7154,122462,0.3914,0.648
▁here,▁тут,1517,41592,0.4033,0.768
▁hero,▁герой,8888,180734,0.2258,0.8867
▁heroes,▁герои,25579,146408,0.08374,0.705
▁herself,▁сама,12074,84957,0.2424,0.155
▁high,▁высо,1536,25125,0.1166,0.559
▁his,▁его,926,11237,0.3657,0.4426
▁history,▁история,4281,84433,0.1385,0.801
▁hockey,▁хок,33280,228785,0.6626,0.4355
▁holy,▁свя,19219,22222,0.692,0.10626
▁hope,▁наде,4077,48054,0.507,0.1653
▁horizontal,▁горизонта,16686,183703,0.1417,0.345
▁horse,▁лоша,10468,130735,0.2255,0.731
▁hour,▁час,6370,47526,0.6875,0.737
▁house,▁дом,3036,43916,0.267,0.8325
▁hundred,▁сто,7541,9025,0.2013,0.4026
▁hunt,▁охо,12407,85505,0.4087,0.3157
▁idea,▁идея,4268,169649,0.1511,0.8345
▁ideas,▁идеи,5793,125527,0.186,0.8174
▁identity,▁иден,12852,165990,0.113,0.0595
▁if,▁если,1013,19613,0.3535,0.705
▁important,▁важ,2845,73730,0.3242,0.581
▁impression,▁впечатление,17348,219029,0.0789,0.6006
▁in,▁в,575,975,0.587,0.43
▁inch,▁дюй,11444,174446,0.271,0.571
▁income,▁доход,8316,183967,0.2947,0.626
▁increase,▁увеличи,4740,83839,0.1442,0.528
▁independent,▁независи,9560,111162,0.2002,0.3638
▁indicator,▁индика,25343,206485,0.0927,0.1638
▁influence,▁влия,8590,63565,0.1405,0.3904
▁inform,▁сообщи,6275,79298,0.1711,0.2333
▁information,▁информация,2113,73351,0.1409,0.7773
▁infrastructure,▁инфраструк,16888,192695,0.0801,0.7896
▁installation,▁установка,12809,164699,0.02383,0.4722
▁installed,▁установ,11598,37528,0.1495,0.1162
▁instead,▁вместо,5918,114022,0.346,0.545
▁instructions,▁инструкции,12027,217027,0.2499,0.688
▁interact,▁взаимодей,22557,121835,0.314,0.1875
▁interest,▁интерес,3273,77889,0.1912,0.6665
▁interested,▁интересу,8202,163533,0.2139,0.2478
▁interface,▁интерфей,7222,166569,0.0717,0.7363
▁international,▁международ,6191,83597,0.1919,0.7695
▁invention,▁изобре,26532,220453,0.5527,0.3745
▁invite,▁пригла,25220,110910,0.4626,0.1871
▁iron,▁желе,8456,109327,0.243,0.6426
▁it,▁оно,665,70122,0.05682,0.2026
▁journal,▁журнал,10519,211165,0.1741,0.3506
▁journalist,▁журнали,38049,128795,0.1666,0.573
▁joy,▁радость,10300,202909,0.1246,0.5996
▁judge,▁судь,11490,87222,0.4849,0.3433
▁juice,▁сок,17796,185306,0.0853,0.789
▁jump,▁пры,9902,88975,0.729,0.2314
▁key,▁ключ,2621,129156,0.1316,0.67
▁keyboard,▁клавиа,20434,227470,0.2395,0.6753
▁kg,▁кг,8904,39701,0.6006,0.512
▁kill,▁уби,9451,62914,0.5454,0.3352
▁kitchen,▁кухня,8926,132698,0.0611,0.8613
▁km,▁км,5821,43150,0.459,0.2456
▁knew,▁знал,6608,164370,0.5664,0.453
▁known,▁извест,3836,44149,0.1301,0.2966
▁knows,▁знает,9242,105177,0.5083,0.5137
▁laboratory,▁лабора,17355,143920,0.3123,0.6143
▁lamp,▁лампа,11861,201112,0.1322,0.7627
▁land,▁зем,2840,33672,0.0641,0.378
▁landscape,▁пейза,15487,188955,0.0785,0.391
▁language,▁язык,5255,95087,0.07697,0.8535
▁laser,▁лазер,16503,202989,0.381,0.784
▁last,▁последний,2001,143193,0.1186,0.7417
▁late,▁позд,5245,69126,0.4136,0.349
▁law,▁закон,2912,61708,0.1412,0.82
▁layer,▁слой,8651,153464,0.1646,0.776
▁leaf,▁лист,12325,109362,0.4583,0.5293
▁leaves,▁листья,7907,191628,0.06366,0.7314
▁lecture,▁лек,23698,164577,0.3757,0.41
▁legend,▁леген,14819,128225,0.3403,0.615
▁legs,▁ноги,13713,118829,0.193,0.4058
▁lemon,▁лимон,20799,170543,0.2255,0.7305
▁length,▁длина,4191,160609,0.10205,0.748
▁less,▁меньше,2644,82265,0.2605,0.63
▁lesson,▁урок,17972,160910,0.4197,0.67
▁letter,▁буква,6139,129820,0.04562,0.808
▁library,▁библиоте,9581,107042,0.425,0.799
▁license,▁лицен,13371,130085,0.067,0.6157
▁lies,▁лежит,13241,181180,0.6323,0.4644
▁life,▁жизнь,1913,40117,0.3967,0.88
▁light,▁свет,2611,45717,0.3413,0.8535
▁line,▁линия,2017,143244,0.09564,0.8228
▁lines,▁линии,5453,104796,0.10925,0.458
▁liquid,▁жидко,10177,116060,0.1195,0.6074
