en,ru,en_tok,ru_tok,en_to_ru_prob,ru_to_en_prob
▁cinema,▁кино,24615,20750,0.4404,0.557
▁city,▁город,4272,12816,0.3142,0.514
▁class,▁кла,770,9955,0.3374,0.3794
▁club,▁клуб,4402,21182,0.2002,0.8555
▁commander,▁команди,22079,19137,0.10895,0.1941
▁computer,▁комп,6601,16042,0.1835,0.4133
▁continue,▁продол,6773,20646,0.3044,0.1255
▁control,▁контро,2761,24712,0.1906,0.4817
▁council,▁совет,18701,11999,0.2422,0.733
▁country,▁стра,4234,8440,0.0909,0.1726
▁course,▁кур,3236,23049,0.1809,0.0732
▁created,▁созда,2825,14507,0.323,0.1603
▁culture,▁куль,9257,12960,0.3672,0.3313
▁dance,▁тан,17948,20395,0.3489,0.1244
▁dark,▁тем,6501,14197,0.2595,0.2666
▁day,▁день,2462,22763,0.513,0.7197
▁death,▁смер,4892,18047,0.2766,0.566
▁develop,▁разви,2693,15525,0.447,0.361
▁direction,▁направ,5305,21946,0.1718,0.4172
▁director,▁дире,8881,20174,0.2172,0.2673
▁doctor,▁вра,11619,19195,0.1984,0.3308
▁document,▁доку,1842,24196,0.489,0.4165
▁drama,▁дра,18621,23231,0.268,0.2008
▁earth,▁зем,8437,12639,0.535,0.4526
▁east,▁восто,9755,26170,0.192,0.3923
▁economy,▁эконо,26504,24297,0.3628,0.1862
▁editor,▁реда,6920,16537,0.702,0.2644
▁education,▁образова,9793,16362,0.3018,0.3083
▁electric,▁элект,12646,22876,0.585,0.5186
▁exist,▁суще,1863,19391,0.378,0.1274
▁field,▁поле,1746,29235,0.3113,0.8257
▁first,▁пер,937,4651,0.2998,0.4111
▁fish,▁ры,9427,25853,0.517,0.371
▁football,▁футбо,5733,12656,0.5786,0.6714
▁for,▁для,363,3807,0.1934,0.726
▁form,▁фор,883,9116,0.299,0.299
▁foundation,▁основа,22778,18233,0.11975,0.4624
▁four,▁четы,3023,24998,0.3967,0.552
▁free,▁свобо,3889,29814,0.3945,0.4138
▁friend,▁дру,5121,4849,0.3254,0.2378
▁from,▁из,515,1866,0.329,0.4683
▁front,▁фрон,4565,23502,0.1107,0.4163
▁full,▁пол,2989,7372,0.3433,0.2435
▁function,▁функ,740,20153,0.4426,0.61
▁game,▁иг,3748,10689,0.1809,0.4922
▁general,▁генерал,2498,21857,0.1718,0.735
▁gold,▁золо,7684,26467,0.3853,0.5947
▁governor,▁губер,20221,19062,0.2913,0.3186
▁great,▁вели,2107,11968,0.3184,0.1338
▁green,▁зе,7933,24263,0.757,0.08606
▁group,▁груп,2318,10841,0.1486,0.575
▁half,▁полови,4203,28072,0.2417,0.694
▁hand,▁ру,1361,5368,0.4836,0.236
▁has,▁имеет,756,26780,0.3843,0.7046
▁he,▁он,540,6524,0.6396,0.73
▁head,▁голов,2343,19311,0.1992,0.4675
▁hell,▁ад,23927,11437,0.356,0.10974
▁help,▁помо,1371,14752,0.3752,0.4475
▁high,▁высо,1880,15804,0.4482,0.4133
▁himself,▁сам,3654,24640,0.272,0.2659
▁his,▁его,670,5686,0.4414,0.5015
▁hold,▁держа,4808,18716,0.2207,0.376
▁hour,▁час,7234,12978,0.7295,0.5425
▁hundred,▁сто,6893,7349,0.1796,0.593
▁idea,▁иде,2969,28866,0.354,0.08466
▁important,▁важ,4100,23701,0.2617,0.558
▁in,▁в,297,490,0.65,0.38
▁include,▁включа,3160,20352,0.2974,0.2401
▁information,▁информа,2472,25565,0.449,0.636
▁interesting,▁инте,8031,26133,0.583,0.1456
▁international,▁международ,6121,25075,0.4026,0.8135
▁internet,▁интер,8986,25827,0.1978,0.11804
▁island,▁остров,11359,27586,0.2354,0.855
▁kill,▁уби,12088,19670,0.662,0.2605
▁king,▁цар,6989,21350,0.3235,0.4617
▁know,▁зна,1073,6253,0.702,0.1707
▁known,▁извест,2998,14292,0.392,0.2764
▁language,▁язы,4086,14264,0.405,0.654
▁last,▁послед,1833,17235,0.365,0.6255
▁level,▁уров,3233,23155,0.2,0.3745
▁light,▁свет,3578,23486,0.393,0.811
▁live,▁жи,5735,4438,0.6846,0.2035
▁love,▁лю,5360,6331,0.8315,0.1176
▁magazine,▁журна,14853,15665,0.2637,0.4514
▁man,▁муж,767,20686,0.3499,0.6597
▁many,▁много,1784,15169,0.4211,0.4424
▁match,▁мат,1993,12819,0.1472,0.3599
▁math,▁мате,5844,23470,0.3545,0.2764
▁meat,▁мя,27654,27693,0.448,0.2317
▁medal,▁меда,12807,18922,0.4917,0.6895
▁meeting,▁встре,11781,22743,0.1442,0.3745
▁member,▁член,4509,17504,0.278,0.824
▁memory,▁памя,3370,22836,0.2827,0.2505
▁meter,▁мет,11134,17194,0.443,0.3542
▁method,▁мето,1158,20148,0.2283,0.51
▁military,▁воен,9121,13316,0.4072,0.411
▁minister,▁мини,11050,20826,0.2625,0.513
▁mm,▁мм,5654,24427,0.4463,0.5737
▁modern,▁современ,5400,23528,0.31,0.513
▁month,▁меся,4098,29706,0.4697,0.7065
▁moon,▁лу,18786,16050,0.3767,0.1405
▁mother,▁ма,5637,2394,0.642,0.2491
▁move,▁дви,4337,16186,0.1643,0.11
▁music,▁музы,4696,16925,0.4197,0.6577
▁my,▁мо,590,2569,0.57,0.2054
▁narrow,▁уз,12474,26008,0.637,0.02321
▁near,▁бли,2978,14714,0.2788,0.2457
▁new,▁нов,716,13074,0.2524,0.413
▁next,▁следу,2446,19139,0.1365,0.2961
▁normal,▁нор,4226,28698,0.3418,0.1761
▁not,▁не,451,1538,0.7417,0.5137
▁novel,▁роман,9554,25368,0.2402,0.6455
▁often,▁часто,4049,23020,0.653,0.756
▁on,▁на,373,665,0.3691,0.271
▁one,▁один,697,15515,0.295,0.8657
▁only,▁только,871,15302,0.515,0.8364
▁open,▁откры,1722,17282,0.377,0.393
▁operation,▁опера,5858,16458,0.4028,0.2042
▁or,▁или,470,7082,0.535,0.6973
▁organ,▁орган,2894,18374,0.1876,0.717
▁organization,▁организа,13013,17289,0.2788,0.5615
▁other,▁друго,916,22454,0.2042,0.351
▁pair,▁пар,5101,7596,0.1554,0.1891
▁part,▁часть,760,17265,0.296,0.5522
▁participation,▁участие,27577,22398,0.12164,0.766
▁person,▁человек,2022,14347,0.1398,0.3354
▁photo,▁фото,15373,26592,0.735,0.6475
▁physics,▁физи,17558,27172,0.3042,0.309
▁place,▁место,2058,14179,0.1978,0.6943
▁places,▁места,7600,27596,0.1271,0.4988
▁poet,▁поэ,9821,21427,0.4128,0.637
▁police,▁поли,10974,10595,0.4023,0.3184
▁political,▁политиче,8604,25061,0.2355,0.8223
▁possibility,▁возмож,13331,28461,0.373,0.2893
▁prince,▁кня,15927,17747,0.2054,0.2817
▁problem,▁пробле,1108,28097,0.1902,0.673
▁process,▁проце,1889,14852,0.3037,0.5283
▁product,▁проду,3234,23092,0.2092,0.2407
▁production,▁производ,5802,21698,0.302,0.2424
▁professor,▁профес,12251,15240,0.2896,0.2322
▁program,▁програм,1824,20796,0.4634,0.4636
▁project,▁проек,2060,16054,0.3193,0.7026
▁protection,▁защи,13047,20022,0.4575,0.1707
▁protest,▁проте,10021,24482,0.3003,0.3293
▁province,▁пр,12291,12781,0.1465,0.344
▁publish,▁изда,9805,16209,0.2211,0.12427
▁quality,▁каче,11029,18432,0.3003,0.2925
▁question,▁вопро,1139,29309,0.525,0.6357
▁r,▁р,364,8201,0.1866,0.05563
▁rare,▁ред,10812,17484,0.4878,0.2913
▁relation,▁отно,8220,12797,0.1367,0.08075
▁remain,▁оста,3933,14072,0.46,0.095
▁represent,▁представ,2755,11876,0.4993,0.109
▁research,▁исследова,5925,20565,0.2666,0.2203
▁result,▁результа,1121,13439,0.2903,0.6714
▁revolution,▁револю,19479,27307,0.5063,0.5947
▁right,▁прав,1492,16901,0.3943,0.607
▁river,▁ре,8580,1909,0.6016,0.1312
▁road,▁доро,6520,22446,0.3818,0.4822
▁robot,▁робо,19964,22957,0.578,0.2664
▁role,▁роль,6297,24072,0.2778,0.7485
▁room,▁ком,5716,5294,0.2145,0.1196
▁rule,▁прави,5751,12318,0.1649,0.11145
▁saint,▁свя,22635,9690,0.2815,0.3618
▁saw,▁виде,4446,21986,0.1501,0.1593
▁say,▁гово,1827,29554,0.6343,0.1366
▁school,▁шко,3762,12351,0.1581,0.8013
▁science,▁нау,10466,7956,0.3516,0.3105
▁season,▁сез,4259,18950,0.1367,0.4685
▁second,▁второй,1473,27619,0.192,0.8184
▁secret,▁секре,7035,26198,0.3313,0.5894
▁self,▁само,1583,8761,0.446,0.1803
▁sell,▁прода,19417,26698,0.838,0.1583
▁serve,▁слу,9080,7996,0.1348,0.1051
▁service,▁служ,2669,17746,0.1165,0.3337
▁seven,▁сем,9881,18534,0.553,0.2937
▁sh,▁ш,528,3354,0.175,0.0737
▁she,▁она,1183,15568,0.3142,0.775
▁showed,▁показа,10018,25511,0.455,0.241
▁side,▁сторо,2625,18779,0.1606,0.2452
▁six,▁ше,4832,20116,0.556,0.1738
▁so,▁так,577,4553,0.4219,0.505
▁son,▁сы,1487,14295,0.675,0.562
▁song,▁пес,4823,15536,0.5083,0.2014
▁sound,▁зву,6047,29351,0.4065,0.478
▁source,▁исто,2752,7874,0.3884,0.136
▁special,▁осо,4266,9253,0.2285,0.0845
▁station,▁стан,5073,5151,0.2512,0.3545
▁straight,▁пря,7812,23380,0.7217,0.363
▁street,▁ули,11952,16756,0.1501,0.595
▁student,▁сту,8368,13224,0.71,0.0764
▁style,▁сти,3114,14539,0.4272,0.1768
▁success,▁успе,2551,19823,0.3936,0.4617
▁support,▁поддер,2304,26400,0.3494,0.5054
▁surname,▁фами,23403,15195,0.1849,0.3054
▁task,▁зада,3414,27341,0.3157,0.1912
▁teach,▁учи,6860,15517,0.3784,0.3362
▁team,▁коман,3815,6863,0.179,0.4548
▁television,▁теле,11456,13947,0.495,0.2352
▁temperature,▁темпера,10430,25596,0.4338,0.714
▁ten,▁деся,3006,26661,0.3503,0.5815
▁text,▁тек,1426,23567,0.7344,0.4338
▁their,▁их,1009,11244,0.434,0.4893
▁theory,▁тео,6368,25728,0.6587,0.457
▁there,▁там,727,29112,0.4958,0.878
▁these,▁эти,1438,17610,0.4417,0.5254
▁they,▁они,896,16642,0.5093,0.88
▁this,▁это,445,6408,0.205,0.435
▁three,▁три,2211,10357,0.817,0.5327
▁through,▁через,1549,13068,0.266,0.548
▁time,▁время,931,8409,0.3608,0.8516
▁to,▁к,304,1186,0.2268,0.1838
▁together,▁вместе,4208,23414,0.449,0.89
▁tournament,▁турни,14743,22263,0.287,0.559
▁tradition,▁тради,11399,24090,0.198,0.5576
▁two,▁два,1023,11883,0.544,0.8467
▁under,▁под,1090,3693,0.5684,0.662
▁university,▁университе,16372,15545,0.2656,0.833
▁usual,▁обы,9670,27168,0.5845,0.0762
▁victory,▁побе,15354,15393,0.4111,0.3733
▁voice,▁голо,7314,27187,0.499,0.1018
▁war,▁вой,1370,7587,0.3923,0.375
▁was,▁был,471,4601,0.4644,0.717
▁we,▁мы,591,26907,0.743,0.7993
▁weapon,▁ору,28639,28659,0.3132,0.1672
▁were,▁были,892,8436,0.4263,0.563
▁west,▁запад,5833,28055,0.1791,0.616
▁what,▁что,825,4281,0.498,0.523
▁when,▁когда,746,18407,0.4795,0.8506
▁where,▁где,988,11270,0.4631,0.9087
▁wide,▁широ,9377,24069,0.6025,0.3545
▁wife,▁жена,6532,23955,0.562,0.8516
▁will,▁буде,674,23618,0.2205,0.602
▁with,▁с,411,531,0.4795,0.1768
▁without,▁без,1728,10642,0.6763,0.6323
▁woman,▁женщи,6114,22465,0.3267,0.7207
▁words,▁слова,3838,16919,0.2195,0.473
▁work,▁работа,664,19568,0.4673,0.756
▁would,▁бы,723,2188,0.2935,0.09485
▁wrote,▁написа,5456,25043,0.5,0.2319
▁year,▁год,1629,10477,0.2783,0.7646
▁yes,▁да,4874,3574,0.7783,0.1276
▁you,▁ты,366,19506,0.595,0.8047
▁young,▁моло,4123,14908,0.3452,0.3494
▁zoo,▁зо,22424,25687,0.606,0.11975
