en,zh,zh_to_en_prob,en_to_zh_prob
▁method,方,0.12432861,0.63964844
▁middle,中,0.29052734,0.54541016
▁mistake,错,0.55566406,0.75878906
▁model,模,0.6323242,0.8666992
▁month,月,0.45288086,0.83251953
▁mother,母,0.92333984,0.87890625
▁mountain,山,0.8828125,0.9926758
▁mouth,口,0.9003906,0.95947266
▁move,移,0.25927734,0.3310547
▁museum,博,0.039886475,0.82373047
▁must,必,0.7495117,0.7885742
▁name,名,0.8173828,0.7817383
▁near,近,0.578125,0.92041016
▁need,需,0.52001953,0.78466797
▁net,网,0.31884766,0.99560547
▁new,新,0.87890625,0.9951172
▁night,夜,0.88671875,0.9448242
▁nine,九,0.93603516,0.99316406
▁no,不,0.1928711,0.38012695
▁none,无,0.4765625,0.6850586
▁north,北,0.7602539,0.99560547
▁now,现,0.4020996,0.91748047
▁number,数,0.63964844,0.91748047
▁odd,奇,0.29492188,0.96972656
▁of,的,0.67822266,0.8120117
▁official,官,0.53759766,0.92578125
▁often,常,0.2548828,0.5083008
▁old,老,0.91845703,0.8671875
▁one,一,0.93847656,0.9453125
▁only,只,0.85058594,0.5830078
▁open,开,0.45776367,0.95166016
▁or,或,0.8256836,0.9169922
▁original,原,0.5800781,0.8227539
▁other,其,0.22277832,0.6064453
▁outside,外,0.5654297,0.92822266
▁over,过,0.23535156,0.3786621
▁page,页,0.9140625,0.94433594
▁painting,画,0.34545898,0.8701172
▁pair,双,0.1550293,0.30322266
▁particip,参,0.18945312,0.8544922
▁pay,付,0.30981445,0.6435547
▁people,人,0.31420898,0.6357422
▁picture,图,0.5786133,0.53759766
▁please,请,0.84277344,0.9765625
▁politics,政,0.53466797,0.98291016
▁power,力,0.30200195,0.31079102
▁project,项,0.07385254,0.5029297
▁province,省,0.75097656,0.96972656
▁public,公,0.5678711,0.953125
▁pull,拉,0.63671875,0.9301758
▁question,问,0.33911133,0.98876953
▁reason,理,0.19519043,0.22595215
▁record,记,0.44067383,0.76171875
▁red,红,0.96533203,0.97265625
▁representative,代,0.10253906,0.98583984
▁research,研,0.37475586,0.92041016
▁return,返,0.3449707,0.41210938
▁rice,米,0.85791016,0.8198242
▁rich,富,0.5595703,0.8378906
▁right,右,0.9584961,0.8979492
▁river,河,0.8774414,0.9042969
▁road,路,0.61083984,0.8051758
▁root,根,0.86621094,0.9301758
▁same,同,0.5932617,0.56689453
▁sample,样,0.18017578,0.9394531
▁sand,沙,0.9140625,0.95996094
▁say,说,0.4724121,0.9501953
▁scen,景,0.36816406,0.20800781
▁school,学,0.3552246,0.51416016
▁science,科,0.6459961,0.9277344
▁sea,海,0.8588867,0.9863281
▁seat,座,0.3935547,0.79833984
▁see,看,0.27807617,0.8671875
▁self,自,0.5,0.84228516
▁seven,七,0.9248047,0.97753906
▁sex,性,0.45507812,0.90527344
▁shadow,影,0.6352539,0.9604492
▁shape,形,0.46923828,0.93847656
▁shop,店,0.69873047,0.71484375
▁should,应,0.3701172,0.6801758
▁single,单,0.5395508,0.8178711
▁six,六,0.8886719,0.9589844
▁skill,技,0.3786621,0.7910156
▁sky,天,0.5019531,0.9536133
▁small,小,0.5395508,0.97265625
▁snow,雪,0.9711914,0.9326172
▁so,所,0.095825195,0.45410156
▁society,社,0.74365234,0.97558594
▁solution,解,0.20959473,0.7294922
▁some,些,0.49365234,0.4362793
▁song,歌,0.72558594,0.9394531
▁source,源,0.5175781,0.49731445
▁south,南,0.8442383,0.99609375
▁special,特,0.70214844,0.92871094
▁spring,春,0.8935547,0.9604492
▁star,星,0.93847656,0.9145508
▁station,站,0.5546875,0.94091797
▁stone,石,0.81103516,0.97802734
▁straight,直,0.67333984,0.9135742
▁stream,溪,0.4375,0.24304199
▁street,街,0.77685547,0.8510742
▁success,成,0.113220215,0.71240234
▁summer,夏,0.9399414,0.9926758
▁super,超,0.4345703,0.97802734
▁support,支,0.4494629,0.91552734
▁sure,确,0.28833008,0.5917969
▁symbol,符,0.13061523,0.9350586
▁system,系,0.57910156,0.93066406
▁tail,尾,0.7963867,0.98583984
▁take,取,0.36791992,0.47729492
▁talent,才,0.36889648,0.82177734
▁tea,茶,0.953125,0.96240234
▁teach,教,0.47607422,0.94189453
▁temple,寺,0.9370117,0.80810547
▁ten,十,0.94433594,0.96533203
▁than,比,0.12310791,0.39575195
▁that,那,0.6567383,0.9399414
▁this,这,0.8486328,0.8671875
▁thought,思,0.46704102,0.4807129
▁thousand,千,0.6713867,0.60058594
▁three,三,0.5839844,0.8198242
▁time,时,0.8540039,0.97216797
▁today,今,0.36791992,0.90527344
▁too,太,0.23059082,0.6298828
▁tower,塔,0.89941406,0.57470703
▁town,镇,0.7319336,0.26049805
▁true,真,0.55029297,0.84716797
▁try,试,0.54003906,0.8598633
▁turn,转,0.46362305,0.5493164
▁two,二,0.8178711,0.5361328
▁type,类,0.19750977,0.23364258
▁union,联,0.18945312,0.37182617
▁universe,宇,0.5410156,0.9560547
▁up,上,0.2626953,0.5214844
▁use,用,0.38623047,0.62109375
▁valley,谷,0.5625,0.8857422
▁version,版,0.43969727,0.9868164
▁village,村,0.9355469,0.95996094
▁want,想,0.38867188,0.64404297
▁water,水,0.796875,0.93847656
▁wave,波,0.70947266,0.828125
▁week,周,0.5996094,0.56933594
▁well,井,0.9345703,0.95751953
▁west,西,0.71191406,0.9970703
▁when,当,0.13671875,0.65527344
▁white,白,0.9472656,0.99121094
▁wild,野,0.3071289,0.9658203
▁wisdom,智,0.28051758,0.92041016
▁wood,木,0.9165039,0.89208984
▁work,工,0.25097656,0.43188477
▁world,世,0.67529297,0.9560547
▁worth,值,0.14978027,0.5395508
▁write,写,0.6958008,0.84472656
▁year,年,0.7602539,0.9814453
▁yellow,黄,0.9433594,0.99365234
▁you,你,0.93652344,0.9472656
